"","game_id","schedule_season","schedule_week","schedule_date","team_home_id","stadium","weather_temperature","weather_wind_mph","weather_humidity","weather_detail"
"3651","19841007NECLE",1984,"6",1984-10-07,"CLE","Cleveland Municipal Stadium",60,10,72,""
"3652","19841007NOCHI",1984,"6",1984-10-07,"CHI","Soldier Field",62,11,91,""
"3653","19841007NYJKC",1984,"6",1984-10-07,"KC","Arrowhead Stadium",64,9,81,""
"3654","19841007PHIBUF",1984,"6",1984-10-07,"BUF","Ralph Wilson Stadium",52,8,66,""
"3655","19841007SEALVR",1984,"6",1984-10-07,"LVR","Los Angeles Memorial Coliseum",68,10,69,""
"3656","19841007TENCIN",1984,"6",1984-10-07,"CIN","Cinergy Field",63,8,88,""
"3657","19841007WASIND",1984,"6",1984-10-07,"IND","RCA Dome",72,0,NA,"indoor"
"3658","19841008SFNYG",1984,"6",1984-10-08,"NYG","Giants Stadium",60,12,56,""
"3659","19841014BUFSEA",1984,"7",1984-10-14,"SEA","Seattle Kingdome",72,0,NA,"indoor"
"3660","19841014CHIARI",1984,"7",1984-10-14,"ARI","Busch Memorial Stadium",69,9,93,""
"3661","19841014CINNE",1984,"7",1984-10-14,"NE","Foxboro Stadium",51,16,84,""
"3662","19841014DALWAS",1984,"7",1984-10-14,"WAS","RFK Memorial Stadium",63,14,61,""
"3663","19841014INDPHI",1984,"7",1984-10-14,"PHI","Veterans Stadium",60,14,61,""
"3664","19841014LACKC",1984,"7",1984-10-14,"KC","Arrowhead Stadium",67,11,88,""
"3665","19841014LARNO",1984,"7",1984-10-14,"NO","Louisiana Superdome",72,0,NA,"indoor"
"3666","19841014MINLVR",1984,"7",1984-10-14,"LVR","Los Angeles Memorial Coliseum",69,10,64,""
"3667","19841014NYGATL",1984,"7",1984-10-14,"ATL","Atlanta-Fulton County Stadium",72,6,56,""
"3668","19841014NYJCLE",1984,"7",1984-10-14,"CLE","Cleveland Municipal Stadium",56,6,80,""
"3669","19841014PITSF",1984,"7",1984-10-14,"SF","Candlestick Park",60,15,66,""
"3670","19841014TBDET",1984,"7",1984-10-14,"DET","Pontiac Silverdome",72,0,NA,"indoor"
"3671","19841014TENMIA",1984,"7",1984-10-14,"MIA","Orange Bowl",77,7,62,""
"3672","19841015GBDEN",1984,"7",1984-10-15,"DEN","Mile High Stadium",32,4,84,""
"3673","19841021CHITB",1984,"8",1984-10-21,"TB","Houlihan's Stadium",78,9,73,""
"3674","19841021CLECIN",1984,"8",1984-10-21,"CIN","Cinergy Field",63,12,89,""
"3675","19841021DENBUF",1984,"8",1984-10-21,"BUF","Ralph Wilson Stadium",58,16,74,""
"3676","19841021DETMIN",1984,"8",1984-10-21,"MIN","Hubert H. Humphrey Metrodome",72,0,NA,"indoor"
"3677","19841021KCNYJ",1984,"8",1984-10-21,"NYJ","Giants Stadium",66,9,69,""
"3678","19841021LVRLAC",1984,"8",1984-10-21,"LAC","Qualcomm Stadium",65,8,71,""
"3679","19841021MIANE",1984,"8",1984-10-21,"NE","Foxboro Stadium",58,10,53,""
"3680","19841021NODAL",1984,"8",1984-10-21,"DAL","Texas Stadium",59,13,88,""
