"","game_id","schedule_season","schedule_week","schedule_date","team_home_id","team_away_id","score_home","score_away","stadium_neutral","schedule_playoff"
"276","19671112INDATL",1967,"9",1967-11-12,"ATL","IND",7,49,FALSE,FALSE
"277","19671112KCNE",1967,"11",1967-11-12,"NE","KC",10,33,FALSE,FALSE
"278","19671112MIALAC",1967,"11",1967-11-12,"LAC","MIA",24,0,FALSE,FALSE
"279","19671112NYGCHI",1967,"9",1967-11-12,"CHI","NYG",34,7,FALSE,FALSE
"280","19671112PHILAR",1967,"9",1967-11-12,"LAR","PHI",33,17,FALSE,FALSE
"281","19671112PITARI",1967,"9",1967-11-12,"ARI","PIT",14,14,FALSE,FALSE
"282","19671112SFWAS",1967,"9",1967-11-12,"WAS","SF",31,28,FALSE,FALSE
"283","19671112TENDEN",1967,"11",1967-11-12,"DEN","TEN",18,20,FALSE,FALSE
"284","19671119ARICHI",1967,"10",1967-11-19,"CHI","ARI",30,3,FALSE,FALSE
"285","19671119DENBUF",1967,"12",1967-11-19,"BUF","DEN",20,21,FALSE,FALSE
"286","19671119DETIND",1967,"10",1967-11-19,"IND","DET",41,7,FALSE,FALSE
"287","19671119LACKC",1967,"12",1967-11-19,"KC","LAC",16,17,FALSE,FALSE
"288","19671119LARATL",1967,"10",1967-11-19,"ATL","LAR",3,31,FALSE,FALSE
