"","game_id","schedule_season","schedule_week","schedule_date","team_favorite_id","spread_favorite","over_under_line"
"295","19671119WASDAL",1967,"10",1967-11-19,"",NA,NA
"296","19671123ARIDAL",1967,"11",1967-11-23,"",NA,NA
"297","19671123DENLAC",1967,"13",1967-11-23,"",NA,NA
"298","19671123LARDET",1967,"11",1967-11-23,"",NA,NA
"299","19671123LVRKC",1967,"13",1967-11-23,"",NA,NA
"300","19671126ATLNO",1967,"11",1967-11-26,"",NA,NA
"301","19671126BUFMIA",1967,"13",1967-11-26,"",NA,NA
"302","19671126GBCHI",1967,"11",1967-11-26,"",NA,NA
"303","19671126INDSF",1967,"11",1967-11-26,"",NA,NA
"304","19671126MINPIT",1967,"11",1967-11-26,"",NA,NA
"305","19671126NETEN",1967,"13",1967-11-26,"",NA,NA
"306","19671126PHINYG",1967,"11",1967-11-26,"",NA,NA
"307","19671126WASCLE",1967,"11",1967-11-26,"",NA,NA
"308","19671203ATLLAR",1967,"12",1967-12-03,"",NA,NA
"309","19671203BUFKC",1967,"14",1967-12-03,"",NA,NA
"310","19671203CHISF",1967,"12",1967-12-03,"",NA,NA
"311","19671203DALIND",1967,"12",1967-12-03,"",NA,NA
"312","19671203DENNYJ",1967,"14",1967-12-03,"",NA,NA
"313","19671203GBMIN",1967,"12",1967-12-03,"",NA,NA
"314","19671203LVRLAC",1967,"14",1967-12-03,"",NA,NA
"315","19671203MIATEN",1967,"14",1967-12-03,"",NA,NA
"316","19671203NOARI",1967,"12",1967-12-03,"",NA,NA
"317","19671203NYGCLE",1967,"12",1967-12-03,"",NA,NA
"318","19671203PHIWAS",1967,"12",1967-12-03,"",NA,NA
"319","19671203PITDET",1967,"12",1967-12-03,"",NA,NA
"320","19671209BUFNE",1967,"15",1967-12-09,"",NA,NA
"321","19671209GBLAR",1967,"13",1967-12-09,"",NA,NA
"322","19671210CLEARI",1967,"13",1967-12-10,"",NA,NA
"323","19671210DETNYG",1967,"13",1967-12-10,"",NA,NA
"324","19671210KCNYJ",1967,"15",1967-12-10,"",NA,NA
"325","19671210LACMIA",1967,"15",1967-12-10,"",NA,NA
"326","19671210LVRTEN",1967,"15",1967-12-10,"",NA,NA
"327","19671210MINCHI",1967,"13",1967-12-10,"",NA,NA
"328","19671210NOIND",1967,"13",1967-12-10,"",NA,NA
"329","19671210PHIDAL",1967,"13",1967-12-10,"",NA,NA
"330","19671210SFATL",1967,"13",1967-12-10,"",NA,NA
"331","19671210WASPIT",1967,"13",1967-12-10,"",NA,NA
"332","19671216DALSF",1967,"14",1967-12-16,"",NA,NA
"333","19671216LACTEN",1967,"16",1967-12-16,"",NA,NA
"334","19671217ARINYG",1967,"14",1967-12-17,"",NA,NA
"335","19671217CHIATL",1967,"14",1967-12-17,"",NA,NA
"336","19671217CLEPHI",1967,"14",1967-12-17,"",NA,NA
"337","19671217INDLAR",1967,"14",1967-12-17,"",NA,NA
"338","19671217KCDEN",1967,"16",1967-12-17,"",NA,NA
"339","19671217MINDET",1967,"14",1967-12-17,"",NA,NA
