"","schedule_week","Date","Home Team","Away Team","Winner Pick","Spread Pick","Over/Under Pick"
"12400","17",2018-12-30,"LAR","SF","LAR (88%)","SF (+10.5)","Under (49.5)"
"12401","Wildcard",2019-01-05,"HOU","IND","IND (53%)","IND (+2)","Under (48.5)"
"12402","Wildcard",2019-01-05,"DAL","SEA","DAL (62%)","DAL (-2.5)","Over (43)"
"12403","Wildcard",2019-01-06,"BAL","LAC","BAL (56%)","BAL (-3)","Over (43)"
"12404","Wildcard",2019-01-06,"CHI","PHI","CHI (58%)","PHI (+6.5)","Over (41.5)"
"12405","Division",2019-01-12,"LAR","DAL","LAR (56%)","DAL (+7.5)","Under (48)"
"12406","Division",2019-01-12,"KC","IND","KC (56%)","IND (+4)","Under (54)"
"12407","Division",2019-01-13,"NE","LAC","NE (50%)","LAC (+3.5)","Under (47.5)"
"12408","Division",2019-01-13,"NO","PHI","NO (76%)","PHI (+8.5)","Under (52)"
"12409","Conference",2019-01-20,"NO","LAR","NO (78%)","NO (-3)","Under (55.5)"
"12410","Conference",2019-01-20,"KC","NE","KC (57%)","KC (-3)","Under (56)"
"12411","Superbowl",2019-02-03,"LAR","NE","LAR (64%)","LAR (+2)","Under (55.5)"
