"","schedule_week","schedule_date","team_home_id","team_away_id","team_winner_predicted","team_winner_ats","team_home_win_prob","team_away_win_prob","over_under_pick","score_total_predicted"
"190","2",1967-09-24,"SF","ATL","SF (78%)",NA,0.779571365836374,0.220428634163626,"Under (NA)",39.6
"191","2",1967-09-24,"GB","CHI","GB (94%)",NA,0.940102534787041,0.0598974652129591,NA,41.3
"192","2",1967-09-24,"DET","CLE","CLE (59%)",NA,0.405003769399096,0.594996230600904,"Under (NA)",43.5
"193","2",1967-09-24,"PHI","IND","PHI (71%)",NA,0.7105796265581,0.2894203734419,NA,44.4
"194","4",1967-09-24,"MIA","KC","KC (82%)",NA,0.178985336322164,0.821014663677836,NA,41.9
"195","4",1967-09-24,"BUF","NE","BUF (73%)",NA,0.731949067874966,0.268050932125034,NA,43.3
"196","2",1967-09-24,"DAL","NYG","DAL (94%)",NA,0.938401550968769,0.0615984490312309,NA,42.7
"197","4",1967-09-24,"DEN","NYJ","NYJ (54%)",NA,0.457764986688386,0.542235013311614,NA,43.1
"198","4",1967-09-24,"LAC","TEN","LAC (82%)",NA,0.822857519434582,0.177142480565418,NA,39.4
"199","2",1967-09-24,"NO","WAS","NO (52%)",NA,0.518329707653638,0.481670292346362,NA,43.4
"200","3",1967-10-01,"GB","ATL","GB (97%)",NA,0.9680315613866,0.0319684386134003,NA,39.1
"201","3",1967-10-01,"MIN","CHI","CHI (55%)",NA,0.446562794621655,0.553437205378345,"Under (NA)",38.4
"202","3",1967-10-01,"NO","CLE","CLE (50%)",NA,0.498589528979613,0.501410471020387,NA,40.9
"203","5",1967-10-01,"TEN","DEN","TEN (51%)",NA,0.509872309903497,0.490127690096503,NA,38.2
"204","3",1967-10-01,"ARI","DET","ARI (52%)",NA,0.516920611170868,0.483079388829132,NA,39.1
"205","5",1967-10-01,"LVR","KC","KC (50%)",NA,0.495768657461213,0.504231342538787,NA,40.6
"206","5",1967-10-01,"BUF","LAC","PICK",NA,0.5,0.5,NA,39.5
"207","3",1967-10-01,"DAL","LAR","DAL (64%)",NA,0.639487382196887,0.360512617803113,NA,40.2
"208","5",1967-10-01,"NYJ","MIA","NYJ (74%)",NA,0.735431857722528,0.264568142277472,NA,40.6
"209","3",1967-10-01,"WAS","NYG","WAS (88%)",NA,0.880468648051639,0.119531351948361,NA,42.9
"210","3",1967-10-01,"PHI","PIT","PHI (81%)",NA,0.813523221669098,0.186476778330902,NA,39.4
"211","3",1967-10-01,"IND","SF","IND (74%)",NA,0.740039494941345,0.259960505058655,NA,41.7
"212","6",1967-10-07,"NYJ","LVR","LVR (68%)",NA,0.322894713060133,0.677105286939867,NA,45.7
"213","4",1967-10-07,"CLE","PIT","CLE (69%)",NA,0.69093778758889,0.30906221241111,NA,46.6
"214","4",1967-10-08,"MIN","ARI","ARI (73%)",NA,0.266887442361021,0.733112557638979,"Under (NA)",40.7
"215","6",1967-10-08,"DEN","BUF","BUF (65%)",NA,0.34867183211248,0.65132816788752,NA,40.5
